page_id	article	section_number	route	source_title	source_sha256	play_count	image_count
welcome/1	welcome.article	1	/welcome/1	Hello, 世界	1f581133d7fa40e6490418c6789a60a2f5e1de26c9c86d7eb6120cb58b145857	1	0
welcome/2	welcome.article	2	/welcome/2	Go local	c1c8c34dfe10b11b5cc72e1daae4336290d613bbbe5445012be949ab904fd3fa	0	0
welcome/4	welcome.article	3	/welcome/3	Go offline (optional)	bb517d4b577fdb446fd029c2998d2426663b94a68f4b4e494c59af421508f683	0	0
welcome/5	welcome.article	4	/welcome/4	The Go Playground	19e6d7da57ca1d191c485754f3dd4ac87775c651b8c0ae8e05c03cbd9b225897	1	0
welcome/3	welcome.article	5	/welcome/5	Congratulations	9a6983b2e50b2fa78ff4f65683210714aea1c1575418e36796c156950ec6330d	0	0
basics/1	basics.article	1	/basics/1	Packages	f769f12c0a028b2f0cd403d89ff39dd150405e9f2e4155875321522f08619fe0	1	0
basics/2	basics.article	2	/basics/2	Imports	3329c9bff5f7e2b9b1e161fdebfb3804ff57cf1fb11bd4327d228328bcfb3fd0	1	0
basics/3	basics.article	3	/basics/3	Exported names	38b9c70e49184a24f63f6b12f8ba78e64c0b874ad2a6f9a5fe86267615fd1bf6	1	0
basics/4	basics.article	4	/basics/4	Functions	accf0562d9b759c9735500d5df0d74e8f90142ed96fe5ab2f5eedc6fbd6cf6f2	1	0
basics/5	basics.article	5	/basics/5	Functions continued	02e7feb341329e18143e18d533fe45381883a6ba6425abb09a847e2f0edf228a	1	0
basics/6	basics.article	6	/basics/6	Multiple results	b3cb4b40115066443f265e3e5ebb9fc0fd6d080784c887328fce4d6b7891ba41	1	0
basics/7	basics.article	7	/basics/7	Named return values	1db20ae87ce5d9d4b20f15e4638ba2a3295a7ce781c961ef618982890fc562fa	1	0
basics/8	basics.article	8	/basics/8	Variables	bcb1b5e17ed9dff3d46a7cd8119c0d2f9c3afbb70ca94d35fadeb4f75b4a9d13	1	0
basics/9	basics.article	9	/basics/9	Variables with initializers	d51c17ba355753484b96c0eefda9fcce9f6f041a8ae2bf3e96fd0ad0c44680cc	1	0
basics/10	basics.article	10	/basics/10	Short variable declarations	f402e8e89a186d3208df5e4d983604730e71ef6c68354755f72e4580d3d7f359	1	0
basics/11	basics.article	11	/basics/11	Basic types	836ab1dd659798dcf5e90f283c4ee794aed1d2cf0766c2ccc268fa91684e9d05	1	0
basics/12	basics.article	12	/basics/12	Zero values	d9ad62501c05359e7b2ac445fa92d629e11d6d378c2701b767abab76012a558e	1	0
