page_id	status	attempts	source_sha256	candidate_path	updated_at	note
welcome/1	ready	6	3fbd64163f0301d60fcf1440c8aa65a79358e7028fec433aee49ae0c364d3034	locales/zh-CN/candidates/welcome-1.article	2026-08-02T13:25:30Z	GLM-5.2 candidate passed existing validator
welcome/2	pending	0	556b44959e651ea6ba4bfae4eb635956bd18aad70626bc5bda3f4e3b7eeeb681	""	""	""
welcome/3	pending	0	9a6983b2e50b2fa78ff4f65683210714aea1c1575418e36796c156950ec6330d	""	""	""
basics/1	pending	0	f769f12c0a028b2f0cd403d89ff39dd150405e9f2e4155875321522f08619fe0	""	""	""
basics/2	pending	0	3329c9bff5f7e2b9b1e161fdebfb3804ff57cf1fb11bd4327d228328bcfb3fd0	""	""	""
basics/3	pending	0	38b9c70e49184a24f63f6b12f8ba78e64c0b874ad2a6f9a5fe86267615fd1bf6	""	""	""
basics/4	pending	0	accf0562d9b759c9735500d5df0d74e8f90142ed96fe5ab2f5eedc6fbd6cf6f2	""	""	""
basics/5	pending	0	02e7feb341329e18143e18d533fe45381883a6ba6425abb09a847e2f0edf228a	""	""	""
basics/6	pending	0	b3cb4b40115066443f265e3e5ebb9fc0fd6d080784c887328fce4d6b7891ba41	""	""	""
basics/7	pending	0	1db20ae87ce5d9d4b20f15e4638ba2a3295a7ce781c961ef618982890fc562fa	""	""	""
basics/8	pending	0	bcb1b5e17ed9dff3d46a7cd8119c0d2f9c3afbb70ca94d35fadeb4f75b4a9d13	""	""	""
basics/9	pending	0	b759eeca18856213360fbb85c4ec2574333bf1f251e775097f557ff8bacd6942	""	""	""
basics/10	pending	0	f402e8e89a186d3208df5e4d983604730e71ef6c68354755f72e4580d3d7f359	""	""	""
basics/11	pending	0	836ab1dd659798dcf5e90f283c4ee794aed1d2cf0766c2ccc268fa91684e9d05	""	""	""
basics/12	pending	0	d9ad62501c05359e7b2ac445fa92d629e11d6d378c2701b767abab76012a558e	""	""	""
basics/13	pending	0	88e0e168f4c95fa4134198a32440b2d2fb1fac9aae535a9ee7148dbcda37e1b3	""	""	""
basics/14	pending	0	21c4077c25629545dee0313b8b6b03e709edc4a74e1d73d9f4c9b0a49e46f6b3	""	""	""
basics/15	pending	0	964ac515c0860a54b3a7780d77c7b4862ca38b744ae1f6be4b155a4386e2a229	""	""	""
basics/16	pending	0	0d502d48a15f7a70e257079d7db1ddafe088607110c1c06b17b4be50b362394a	""	""	""
basics/17	pending	0	f565674b974c053924bf69ef83b709dc50931526ae7fa88e71543a5cd872a190	""	""	""
flowcontrol/1	pending	0	c1169da4fac9516ce733f1a4439d4181c5c42635c9839625d6f82dd8e4951042	""	""	""
flowcontrol/2	pending	0	24a97abbb6db2b6a88017bf326a5968097263d8ba637805f2cf44c9fed25f9fe	""	""	""
flowcontrol/3	pending	0	3ed791cc935287ba6f5da4ba41f6ad84fdcbaef108ee364f769ae5204316bbb7	""	""	""
flowcontrol/4	pending	0	5456c129ef71c60b7502efde65c81020aaf1fa8b9178086e99223a21f6207dc6	""	""	""
flowcontrol/5	pending	0	ce49f916c1ceb7296576ec6b8ec92524b9827be168e3f5eb2040c61fee70f639	""	""	""
flowcontrol/6	pending	0	02e310262214f3c5ceca8bf63ecf2ec3934641a7e2638050479b739ce077031e	""	""	""
flowcontrol/7	pending	0	8666746573ce7d0ea1c12ff24c4c8170a1961eedb0600ed73ab849b4758f797c	""	""	""
flowcontrol/8	pending	0	d8bbee8455ff59212ef432a08312f7c7703360367325a80df3719157200316e9	""	""	""
flowcontrol/9	pending	0	abdc4c295fa7b4aec2616acf83badbbf2b581a9f62e41d03ca2ff984ebb6f7ed	""	""	""
flowcontrol/10	pending	0	cc9f61b13f374198b37d8e419296ff72f961da1e4e37d17afce8769b50b6a915	""	""	""
